Date,Boats,Anglers,Bluefin,Yellowfin,Yellowtail,Barracuda,Calico,Lingcod
"January 02, 2019",1,20,0,0,0,0,0,0
"January 03, 2019",1,26,0,0,0,0,0,0
"January 05, 2019",1,34,0,0,0,0,0,0
"January 06, 2019",1,10,0,0,0,0,0,0
"January 08, 2019",1,6,0,0,0,0,2,0
"January 11, 2019",1,18,0,0,0,0,1,0
"January 13, 2019",1,12,0,0,0,0,5,0
"January 15, 2019",1,16,0,0,0,0,1,0
"January 16, 2019",1,12,0,0,0,0,2,0
"January 17, 2019",1,19,0,0,0,0,11,0
"January 19, 2019",1,18,0,0,0,0,5,0
"January 21, 2019",1,20,0,0,2,0,0,0
"January 23, 2019",1,32,0,0,0,0,8,0
"January 24, 2019",1,7,0,0,0,0,4,0
"January 25, 2019",1,39,0,0,0,0,6,0
"January 27, 2019",3,56,0,0,23,0,2,6
"January 29, 2019",1,23,0,0,0,0,0,0
"January 31, 2019",1,16,0,0,0,0,2,0
"February 07, 2019",1,8,0,0,0,0,2,0
"February 09, 2019",1,5,0,0,0,0,0,0
"February 10, 2019",2,51,0,0,17,0,0,7
"February 11, 2019",1,4,0,0,0,0,0,0
"February 19, 2019",1,17,0,0,0,0,10,0
"February 20, 2019",1,7,0,0,0,0,5,0
"February 22, 2019",1,10,0,0,0,0,10,0
"February 23, 2019",1,14,0,0,0,0,4,0
"February 24, 2019",2,78,0,0,20,0,15,1
"February 26, 2019",1,9,0,0,0,0,3,0
"February 28, 2019",1,11,0,0,0,0,4,0
"March 01, 2019",2,69,0,0,0,0,0,5
"March 03, 2019",3,87,0,0,23,0,0,2
"March 04, 2019",1,24,0,0,0,0,0,0
"March 05, 2019",1,47,0,0,0,0,0,1
"March 07, 2019",2,25,0,0,1,0,0,2
"March 09, 2019",1,78,0,0,0,0,0,0
"March 10, 2019",1,39,0,0,0,0,0,0
"March 11, 2019",2,21,0,0,0,0,0,180
"March 12, 2019",1,18,0,0,0,0,0,0
"March 13, 2019",1,25,0,0,0,0,0,1
"March 14, 2019",1,45,0,0,0,0,0,4
"March 15, 2019",3,53,0,0,0,0,0,1
"March 16, 2019",2,94,0,0,25,0,0,0
"March 17, 2019",3,132,0,0,15,0,1,4
"March 18, 2019",4,82,0,0,16,0,0,0
"March 19, 2019",2,84,0,0,0,0,0,0
"March 21, 2019",1,36,0,0,0,0,0,0
"March 22, 2019",1,44,0,0,0,0,0,0
"March 23, 2019",3,125,0,0,52,0,0,0
"March 24, 2019",3,128,0,0,111,0,0,0
"March 25, 2019",3,72,0,0,6,0,7,0
"March 26, 2019",2,59,0,0,0,0,0,0
"March 27, 2019",1,29,0,0,0,0,0,0
"March 28, 2019",2,48,0,0,2,0,0,0
"March 29, 2019",2,77,0,0,33,0,0,0
"March 30, 2019",2,126,0,0,29,0,0,3
"March 31, 2019",2,112,0,0,2,0,0,0
"April 01, 2019",2,54,0,0,0,0,0,0
"April 02, 2019",2,55,0,0,0,0,0,1
"April 03, 2019",2,49,0,0,0,0,0,1
"April 04, 2019",2,61,0,0,25,0,0,0
"April 05, 2019",2,108,0,0,100,0,0,0
"April 06, 2019",3,120,0,0,200,0,0,0
"April 07, 2019",2,108,0,0,121,0,0,0
"April 08, 2019",3,77,0,0,158,0,0,5
"April 11, 2019",3,90,0,0,205,0,0,0
"April 13, 2019",2,133,0,0,91,0,0,4
"April 14, 2019",5,221,56,0,319,0,0,1
"April 15, 2019",3,102,0,0,29,0,0,0
"April 16, 2019",2,48,0,0,84,0,0,0
"April 17, 2019",2,85,0,0,170,0,0,1
"April 18, 2019",2,107,0,0,167,0,0,0
"April 19, 2019",4,139,13,0,66,0,0,0
"April 20, 2019",3,119,34,0,63,0,0,0
"April 21, 2019",4,112,89,0,65,0,0,0
"April 22, 2019",2,81,0,0,74,0,0,1
"April 23, 2019",2,70,0,0,49,0,0,1
"April 24, 2019",2,61,0,0,49,0,1,2
"April 25, 2019",4,136,22,0,243,1,160,0
"April 26, 2019",2,95,0,0,47,0,100,0
"April 27, 2019",4,193,47,0,156,1,30,0
"April 28, 2019",5,128,26,0,159,0,60,0
"April 29, 2019",4,72,18,0,311,0,0,1
"April 30, 2019",3,54,30,0,47,0,0,0
"May 01, 2019",2,74,0,0,4,0,19,0
"May 02, 2019",3,62,38,0,14,0,27,0
"May 03, 2019",2,116,16,0,0,0,11,1
"May 04, 2019",3,133,17,0,23,0,15,0
"May 05, 2019",6,158,4,0,20,0,20,1
"May 06, 2019",4,98,35,0,172,0,0,0
"May 07, 2019",3,63,2,0,3,0,5,1
"May 08, 2019",3,44,9,0,8,0,0,0
"May 09, 2019",3,84,10,0,14,0,0,0
"May 10, 2019",2,69,7,0,18,0,0,1
"May 11, 2019",5,184,3,0,141,15,1,1
"May 12, 2019",6,152,27,0,32,0,0,0
"May 13, 2019",2,95,37,0,3,0,0,0
"May 14, 2019",4,121,22,0,78,0,0,0
"May 15, 2019",3,76,26,0,14,0,12,0
"May 16, 2019",1,32,0,0,30,0,0,0
"May 18, 2019",5,128,13,0,82,0,3,1
"May 19, 2019",5,151,65,0,137,0,0,0
"May 23, 2019",2,33,0,0,4,0,0,14
"May 24, 2019",4,135,6,0,1,0,0,1
"May 25, 2019",5,169,7,0,2,0,0,0
"May 26, 2019",5,148,6,0,27,1,0,0
"May 27, 2019",4,115,47,2,19,0,0,0
"May 28, 2019",2,24,0,0,0,0,0,7
"May 29, 2019",2,62,0,0,0,4,0,2
"May 30, 2019",2,74,0,0,1,0,0,2
"May 31, 2019",2,65,0,0,4,0,4,0
"June 01, 2019",5,121,17,0,0,2,6,0
"June 02, 2019",6,186,30,0,0,0,15,3
"June 03, 2019",5,108,83,0,5,0,10,0
"June 04, 2019",4,130,90,0,0,0,0,0
"June 05, 2019",3,36,7,0,1,0,1,0
"June 06, 2019",5,126,24,13,0,0,0,0
"June 07, 2019",4,164,78,0,39,0,0,1
"June 08, 2019",5,174,58,0,0,0,0,1
"June 09, 2019",6,206,103,0,39,0,10,0
"June 10, 2019",4,115,40,0,13,0,40,0
"June 11, 2019",3,116,45,32,10,0,1,0
"June 12, 2019",3,102,14,103,0,0,7,0
"June 13, 2019",3,69,10,0,23,0,7,1
"June 14, 2019",4,135,51,1,1,0,0,0
"June 15, 2019",7,235,40,10,114,0,45,0
"June 16, 2019",7,288,60,44,90,0,0,0
"June 17, 2019",5,105,3,12,106,0,60,0
"June 18, 2019",4,116,37,20,112,0,0,1
"June 19, 2019",4,128,49,20,175,0,0,0
"June 20, 2019",6,197,84,10,187,0,0,0
"June 21, 2019",5,173,49,9,37,0,0,0
"June 22, 2019",5,201,45,2,25,0,35,0
"June 23, 2019",8,367,97,6,80,0,2,1
"June 24, 2019",6,164,23,5,31,0,0,2
"June 25, 2019",6,186,51,2,47,0,0,0
"June 26, 2019",7,175,63,1,20,0,20,0
"June 27, 2019",6,189,61,30,10,0,24,0
"June 28, 2019",5,187,9,128,10,0,11,0
"June 29, 2019",5,253,0,154,38,0,125,0
"June 30, 2019",9,259,47,83,29,0,50,0
"July 01, 2019",5,175,29,0,4,0,0,0
"July 02, 2019",6,178,29,32,3,0,0,1
"July 03, 2019",6,198,10,25,2,0,0,0
"July 04, 2019",5,149,10,29,23,0,0,0
"July 05, 2019",6,254,23,9,78,0,4,0
"July 06, 2019",7,258,14,0,6,0,1,1
"July 07, 2019",9,254,35,9,27,0,25,0
"July 08, 2019",6,140,13,3,55,9,46,2
"July 09, 2019",5,165,4,0,75,23,70,1
"July 10, 2019",5,159,4,2,157,17,34,0
"July 11, 2019",4,187,1,0,142,0,16,0
"July 12, 2019",8,230,24,2,313,5,30,1
"July 13, 2019",9,353,58,3,494,1,338,0
"July 14, 2019",10,253,35,0,206,0,175,0
"July 15, 2019",5,156,28,1,300,40,51,0
"July 16, 2019",6,194,16,2,581,23,160,2
"July 17, 2019",7,209,74,7,357,22,87,0
"July 18, 2019",8,223,132,15,244,12,51,0
"July 19, 2019",11,334,38,2,184,15,150,0
"July 20, 2019",9,337,1,0,171,16,225,0
"July 21, 2019",10,323,32,17,52,17,370,1
"July 22, 2019",7,210,14,42,203,0,175,0
"July 23, 2019",6,228,24,20,194,1,120,0
"July 24, 2019",7,203,36,6,109,1,125,2
"July 25, 2019",9,260,15,8,118,10,200,1
"July 26, 2019",10,301,8,4,305,21,150,0
"July 27, 2019",6,273,38,0,52,3,450,0
"July 28, 2019",10,365,15,3,134,10,330,1
"July 29, 2019",5,205,4,0,201,36,251,0
"July 30, 2019",6,152,10,10,44,0,120,0
"July 31, 2019",8,269,1,1,290,7,340,0
"August 01, 2019",5,169,0,1,311,1,100,0
"August 02, 2019",10,295,0,1,324,9,151,0
"August 03, 2019",10,271,5,25,378,2,185,0
"August 04, 2019",10,352,4,4,477,8,350,0
"August 05, 2019",3,115,2,0,78,1,200,0
"August 06, 2019",9,203,0,1,424,3,248,0
"August 07, 2019",7,150,19,1,92,0,325,0
"August 08, 2019",7,171,11,0,308,0,103,0
"August 09, 2019",10,314,1,5,184,14,150,0
"August 10, 2019",9,317,8,11,338,6,175,3
"August 11, 2019",8,295,41,30,159,0,300,0
"August 12, 2019",7,197,34,196,32,0,220,0
"August 13, 2019",9,239,113,403,15,0,200,2
"August 14, 2019",5,210,61,325,202,0,200,0
"August 15, 2019",9,245,29,537,291,0,0,0
"August 16, 2019",9,312,33,867,195,0,75,0
"August 17, 2019",7,279,19,447,18,0,236,0
"August 18, 2019",9,377,24,1184,44,0,350,1
"August 19, 2019",8,245,47,396,141,0,120,0
"August 20, 2019",7,198,44,113,65,0,45,0
"August 21, 2019",9,235,43,651,83,0,1,0
"August 22, 2019",5,175,34,772,0,0,0,0
"August 23, 2019",13,274,34,1606,1,0,20,0
"August 24, 2019",7,171,18,162,4,0,85,0
"August 25, 2019",12,433,137,713,85,0,100,0
"August 26, 2019",5,185,57,265,15,0,65,1
"August 27, 2019",10,263,75,570,55,0,30,0
"August 28, 2019",9,238,91,866,4,0,16,0
"August 29, 2019",8,229,22,874,5,0,0,0
"August 30, 2019",13,292,21,613,30,0,64,0
"August 31, 2019",6,236,1,105,2,0,0,1
"September 01, 2019",10,256,78,1074,1,0,0,0
"September 02, 2019",9,343,127,659,58,0,40,0
"September 03, 2019",9,197,96,919,0,0,0,0
"September 04, 2019",7,178,166,713,35,0,0,0
"September 05, 2019",9,215,104,478,22,0,50,0
"September 06, 2019",9,261,168,704,9,0,100,3
"September 07, 2019",7,241,100,192,6,0,150,0
"September 08, 2019",11,348,245,1211,1,0,0,0
"September 09, 2019",8,210,38,1007,0,0,0,0
"September 10, 2019",10,287,47,792,0,0,50,1
"September 11, 2019",10,258,19,476,14,0,100,0
"September 12, 2019",9,199,40,622,1,0,150,0
"September 13, 2019",12,328,34,708,36,0,100,0
"September 14, 2019",8,230,9,196,2,0,25,0
"September 15, 2019",10,252,75,207,9,0,0,0
"September 16, 2019",8,197,57,325,1,0,25,0
"September 17, 2019",8,199,14,413,17,0,20,0
"September 18, 2019",8,189,3,318,40,0,5,0
"September 19, 2019",6,156,14,535,1,0,7,0
"September 20, 2019",11,260,4,956,57,0,0,0
"September 21, 2019",7,154,7,419,6,0,6,0
"September 22, 2019",9,343,16,802,26,0,4,0
"September 23, 2019",7,210,2,247,1,0,0,2
"September 24, 2019",10,250,12,144,15,0,0,0
"September 25, 2019",6,139,4,86,29,0,0,1
"September 26, 2019",5,104,66,151,0,0,0,0
"September 27, 2019",11,273,20,399,2,0,35,0
"September 28, 2019",6,150,0,112,0,0,0,0
"September 29, 2019",11,308,52,228,13,0,0,0
"September 30, 2019",5,125,6,206,58,0,0,0
"October 01, 2019",6,156,5,271,307,0,0,1
"October 02, 2019",3,86,2,164,31,0,0,0
"October 03, 2019",7,175,15,338,55,0,0,0
"October 04, 2019",8,208,2,484,30,0,0,0
"October 05, 2019",7,170,0,383,18,0,0,0
"October 06, 2019",11,286,6,578,9,0,3,0
"October 07, 2019",6,136,3,479,2,0,0,0
"October 08, 2019",8,184,5,678,0,0,2,0
"October 09, 2019",3,84,3,420,0,0,0,0
"October 10, 2019",5,115,57,352,0,0,0,0
"October 11, 2019",9,223,58,892,22,0,0,0
"October 12, 2019",4,171,1,226,0,0,0,4
"October 13, 2019",9,277,57,615,81,0,0,0
"October 14, 2019",8,213,16,299,15,0,0,1
"October 15, 2019",6,134,14,172,2,0,0,1
"October 16, 2019",4,124,0,394,0,0,0,1
"October 17, 2019",6,135,8,667,0,0,0,0
"October 18, 2019",7,190,0,412,0,0,0,1
"October 19, 2019",7,173,0,387,0,0,0,0
"October 20, 2019",8,314,15,455,19,0,0,0
"October 21, 2019",8,162,91,547,12,0,0,0
"October 22, 2019",6,153,90,327,13,0,0,0
"October 23, 2019",4,124,10,320,0,0,0,0
"October 24, 2019",7,177,72,308,0,0,0,0
"October 25, 2019",7,152,17,237,0,0,0,0
"October 26, 2019",2,129,0,42,0,0,0,1
"October 27, 2019",9,273,23,24,152,0,0,4
"October 28, 2019",4,101,0,108,0,0,1,4
"October 29, 2019",5,127,2,32,4,0,0,0
"October 30, 2019",4,74,0,28,0,0,0,0
"October 31, 2019",3,36,5,45,0,0,5,0
"November 01, 2019",2,57,17,16,0,0,0,0
"November 02, 2019",3,130,21,66,0,0,0,0
"November 03, 2019",5,169,48,199,0,0,0,0
"November 04, 2019",4,68,29,169,13,0,0,1
"November 05, 2019",5,105,48,130,20,0,0,0
"November 07, 2019",4,131,5,348,0,0,0,0
"November 08, 2019",3,63,12,138,0,0,0,0
"November 09, 2019",3,111,6,184,0,0,0,0
"November 10, 2019",6,192,116,861,0,0,0,0
"November 11, 2019",3,126,0,220,0,0,0,0
"November 12, 2019",3,87,58,291,0,0,0,0
"November 13, 2019",3,66,4,265,0,0,0,0
"November 14, 2019",4,115,81,468,35,0,0,0
"November 15, 2019",4,124,15,145,74,0,0,0
"November 16, 2019",4,137,0,219,185,0,0,0
"November 17, 2019",5,153,62,455,24,0,0,1
"November 18, 2019",3,95,6,365,11,0,0,0
"November 19, 2019",3,98,41,183,0,0,0,1
"November 20, 2019",1,23,33,200,0,0,0,0
"November 22, 2019",1,35,0,55,75,0,0,0
"November 23, 2019",4,101,11,197,15,0,0,0
"November 24, 2019",5,151,65,74,0,0,0,0
"November 25, 2019",4,122,87,30,81,0,0,0
"November 26, 2019",4,149,31,36,101,0,0,2
"November 27, 2019",1,24,0,10,0,0,0,0
"November 30, 2019",2,82,0,0,10,0,0,0
"December 01, 2019",2,60,0,115,2,0,0,0
"December 02, 2019",1,30,0,0,0,0,0,0
"December 03, 2019",2,26,5,8,0,0,0,0
"December 05, 2019",1,9,0,0,0,0,0,0
"December 06, 2019",1,33,0,0,2,0,3,0
"December 07, 2019",2,65,0,0,76,0,0,0
"December 08, 2019",1,18,0,0,0,0,0,0
"December 09, 2019",1,15,0,0,0,0,0,0
"December 10, 2019",1,53,0,0,0,0,2,1
"December 11, 2019",1,31,0,0,27,0,4,0
"December 12, 2019",1,73,0,0,63,0,0,0
"December 13, 2019",1,67,0,0,8,0,0,0
"December 14, 2019",1,51,0,0,0,0,0,0
"December 16, 2019",1,44,0,0,0,0,0,0
"December 17, 2019",1,26,0,0,0,0,0,0
"December 18, 2019",1,21,0,0,7,0,0,0
"December 19, 2019",1,26,0,0,0,0,0,0
"December 20, 2019",2,59,0,0,0,0,0,0
"December 21, 2019",2,58,0,0,0,0,1,1
"December 22, 2019",1,66,0,0,0,0,0,0
"December 24, 2019",1,12,0,0,0,0,0,0
"December 27, 2019",1,50,0,0,1,0,0,0
"December 28, 2019",2,106,0,0,9,0,0,0
"December 29, 2019",2,73,0,0,0,0,1,0
"December 30, 2019",1,31,0,0,0,0,2,0
"December 31, 2019",1,53,0,0,0,0,1,0
